iter	Passed	Remaining
939	2796	178
940	2799	175
941	2802	172
942	2805	169
943	2808	166
944	2811	163
945	2814	160
946	2818	157
947	2821	154
948	2824	151
949	2827	148
950	2830	145
951	2833	142
952	2836	139
953	2839	136
954	2841	133
955	2844	130
956	2847	127
957	2850	124
958	2853	121
959	2856	119
960	2859	116
961	2862	113
962	2865	110
963	2868	107
964	2871	104
965	2874	101
966	2876	98
967	2879	95
968	2882	92
969	2885	89
970	2888	86
971	2891	83
972	2894	80
973	2897	77
974	2900	74
975	2902	71
976	2905	68
977	2908	65
978	2911	62
979	2914	59
980	2917	56
981	2919	53
982	2922	50
983	2925	47
984	2928	44
985	2931	41
986	2934	38
987	2937	35
988	2940	32
989	2943	29
990	2946	26
991	2949	23
992	2952	20
993	2954	17
994	2957	14
995	2960	11
996	2963	8
997	2966	5
998	2969	2
999	2972	0
